170.239.188.0,ANTENAS MAIPU
170.239.188.1,ADMINISTRADOR QUILICURA
170.239.188.2,ADMINISTRADOR QUILICURA
170.239.188.3,Mikrotik #3 King Type
170.239.188.4,Router nuevo mikrotik chino
170.239.188.5,Mikrotik #5 KT
170.239.188.6,LB MAIPU
170.239.188.7,UTP CLIENTES
170.239.188.8,CENTRAL MAIPU
170.239.188.9,?
170.239.188.10,ispcube
170.239.188.12,iptv
170.239.188.13,?
170.239.188.14,?
170.239.188.15,speedtest
170.239.188.18,pbx
170.239.188.201,netflix
170.239.188.202,netflix
170.239.188.221,?
170.239.191.0,BALANCEADOR MK CULIPRAN
170.239.191.1,ADMINISTRADOR CULIPRAN
170.239.191.2,SAN PEDRO
170.239.191.3,SAN GERMAN
170.239.191.4,MIKROTIK VILUMA
170.239.191.5,CENTRAL CULIPRAN
170.239.191.6,LA LEONA
170.239.191.7,MOLINO
170.239.191.8,EL BOLDO
170.239.191.11,CHOCALAN
170.239.191.60,dvrviluma123
170.239.191.66,dvrmirador123
170.239.191.67,dvrpopeta123
170.239.191.68,dvrgerman123
170.239.191.69,jnavarretedvrp168
170.239.191.71,dvrleona123
170.239.191.99,agricolapopeta3
170.239.191.102,vilumavina
170.239.191.104,fundoviluma
200.73.4.50,ifx
200.73.4.51,ifx
200.73.4.52,ifx
200.73.4.53,ifx
200.73.4.54,ifx
